Space System Name,Service,Command Name,Field Type,Parameter,Select From,Size,,,,,,,,
,,,Argument,SingleBytePadding,[2],8,,,,,,,,
,,,Argument,SlotNumber,"[1,2]",8,,,,,,,,
/Delfi-PQ,SoftwareUpdate,SetPartialCRCs,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[3],8,,,,,,,,
,,,Argument,OTAOffset,[0],8,,,,,,,,
,,,Argument,SingleBytePadding,[0],8,,,,,,,,
,,,Argument,CRC,[0],8,,,,,,,,
,,,Argument,CRC,[0],8,,,,,,,,
,,,Argument,CRC,[0],8,,,,,,,,
,,,Argument,CRC,[0],8,,,,,,,,
,,,Argument,CRC,[0],8,,,,,,,,
,,,Argument,CRC,[0],8,,,,,,,,
,,,Argument,CRC,[0],8,,,,,,,,
,,,Argument,CRC,[0],8,,,,,,,,
/Delfi-PQ,SoftwareUpdate,SetBlocks,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[5],8,,,,,,,,
,,,Argument,OTAOffset,"[0,1,2,3,4,5,6,7]",8,,,,,,,,
,,,Argument,SingleBytePadding,[0],8,,,,,,,,
,,,Argument,Block,[0],256,,,,,,,,
/Delfi-PQ,SoftwareUpdate,CheckMD5,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[6],8,,,,,,,,
,,,Argument,SlotNumber,"[1,2]",8,,,,,,,,
/Delfi-PQ,SoftwareUpdate,StopOTA,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[7],8,,,,,,,,
/Delfi-PQ,SoftwareUpdate,EraseSlot1,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[8],8,,,,,,,,
,,,Argument,SlotNumber,"[1,2]",8,,,,,,,,
/Delfi-PQ,SoftwareUpdate,EraseSlot2,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[8],8,,,,,,,,
,,,Argument,EraseslotAcknowledge,[13],8,,,,,,,,
/Delfi-PQ,SoftwareUpdate,GetVersionNr,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[13],8,,,,,,,,
/Delfi-PQ,SoftwareUpdate,GetMissedBlocks,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[11],8,,,,,,,,
/Delfi-PQ,SoftwareUpdate,GetMissedCRCs,Command,,,,,,,,,,,
,,,Argument,Service,[18],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[12],8,,,,,,,,
